Year,Years after 1970,March Extent in MSK,June Extent in MSK,September Extent in MSK
1979,9,16.34,12.53,7.05
1980,10,16.04,12.2,7.67
1981,11,15.63,12.43,7.14
1982,12,16.04,12.48,7.3
1983,13,16.09,12.3,7.39
1984,14,15.58,12.15,6.81
1985,15,15.89,12.22,6.7
1986,16,15.91,11.98,7.41
1987,17,15.82,12.49,7.28
1988,18,15.96,11.94,7.37
1989,19,15.42,12.24,7.01
1990,20,15.87,11.64,6.14
1991,21,15.42,12.11,6.47
1992,22,15.48,12.15,7.47
1993,23,15.81,11.87,6.4
1994,24,15.55,12.02,7.14
1995,25,15.26,11.44,6.08
1996,26,15.12,12.08,7.58
1997,27,15.47,11.74,6.69
1998,28,15.6,11.71,6.54
1999,29,15.4,11.78,6.12
2000,30,15.22,11.67,6.25
2001,31,15.52,11.46,6.73
2002,32,15.35,11.58,5.83
2003,33,15.48,11.6,6.12
2004,34,14.99,11.45,5.98
2005,35,14.69,11.16,5.5
2006,36,14.42,10.92,5.86
2007,37,14.54,11.22,4.27
2008,38,15.18,11.21,4.69
2009,39,14.98,11.32,5.26
2010,40,15.14,10.59,4.87
2011,41,14.55,10.75,4.56
2012,42,15.2,10.67,3.57
2013,43,15.03,11.36,5.21
2014,44,14.76,11.03,5.22
2015,45,14.37,10.88,4.62
2016,46,14.4,10.41,4.53
2017,47,14.29,10.76,4.82
2018,48,14.3,10.71,4.71
