Time15,Dose15,Time30,Dose30,Time45,Dose45,Time60,Dose60
0,0,0,0,0,0,0,0
0.067,0.032,0.067,0.071,0.167,0.28,0.167,0.3
0.133,0.096,0.133,0.019,0.333,0.42,0.333,0.46
0.2,0.13,0.2,0.25,0.5,0.51,0.5,0.59
0.267,0.17,0.267,0.3,0.667,0.61,0.667,0.66
0.333,0.16,0.333,0.31,0.833,0.65,0.833,0.71
0.417,0.17,0.5,0.41,1,0.63,1,0.77
0.5,0.16,0.75,0.4,1.167,0.59,1.167,0.75
0.75,0.12,1,0.33,1.33,0.53,1.33,0.7
1,0.09,1.25,0.29,1.5,0.5,1.5,0.71
1.25,0.062,1.5,0.24,1.75,0.43,1.75,0.72
1.5,0.033,1.75,0.22,2,0.4,2,0.64
1.75,0.02,2,0.18,2.5,0.32,2.5,0.57
2,0.012,2.25,0.15,3,0.28,3,0.45
2.25,0.0074,2.5,0.12,3.5,0.22,3.5,0.43
2.5,0.0052,3,0.069,4,0.15,4,0.36
2.75,0.0034,3.5,0.034,4.5,0.081,4.5,0.27
3,0.00024,3.75,0.017,4.75,0.059,4.75,0.22
,,4,0.01,5,0.042,5,0.18
,,4.25,0.0068,5.25,0.021,5.25,0.15
,,4.5,0.0052,5.5,0.014,5.5,0.11
,,4.75,0.0037,5.75,0.0099,5.75,0.079
,,,,6,0.0056,6,0.05
,,,,,,6.25,0.037
,,,,,,6.5,0.02
,,,,,,6.75,0.017
,,,,,,7,0.012
