DATE,Months After Jan 1 2010,Chedder
1/1/2010,0,4.72
2/1/2010,1,4.608
3/1/2010,2,4.708
4/1/2010,3,4.647
5/1/2010,4,4.713
6/1/2010,5,4.525
7/1/2010,6,4.631
8/1/2010,7,4.65
9/1/2010,8,4.726
10/1/2010,9,4.651
11/1/2010,10,5.005
12/1/2010,11,4.933
1/1/2011,12,5.143
2/1/2011,13,5.023
3/1/2011,14,5.065
4/1/2011,15,5.204
5/1/2011,16,5.435
6/1/2011,17,5.443
7/1/2011,18,5.596
8/1/2011,19,5.647
9/1/2011,20,5.707
10/1/2011,21,5.702
11/1/2011,22,5.63
12/1/2011,23,5.43
1/1/2012,24,5.717
2/1/2012,25,5.598
3/1/2012,26,5.659
4/1/2012,27,5.628
5/1/2012,28,5.568
6/1/2012,29,5.475
7/1/2012,30,5.457
8/1/2012,31,5.493
9/1/2012,32,5.575
10/1/2012,33,5.635
11/1/2012,34,5.833
12/1/2012,35,5.867
1/1/2013,36,5.832
2/1/2013,37,5.936
3/1/2013,38,5.736
4/1/2013,39,5.635
5/1/2013,40,5.559
6/1/2013,41,5.493
7/1/2013,42,5.434
8/1/2013,43,5.465
9/1/2013,44,5.433
10/1/2013,45,5.39
11/1/2013,46,5.391
12/1/2013,47,5.386
1/1/2014,48,5.381
2/1/2014,49,5.543
3/1/2014,50,5.579
4/1/2014,51,5.733
5/1/2014,52,5.586
6/1/2014,53,5.56
7/1/2014,54,5.56
8/1/2014,55,5.58
9/1/2014,56,5.565
10/1/2014,57,5.568
11/1/2014,58,5.419
12/1/2014,59,5.438
1/1/2015,60,5.401
2/1/2015,61,5.48
3/1/2015,62,5.384
4/1/2015,63,5.384
5/1/2015,64,5.312
6/1/2015,65,5.256
7/1/2015,66,5.376
8/1/2015,67,5.336
9/1/2015,68,5.382
10/1/2015,69,5.478
11/1/2015,70,5.433
12/1/2015,71,5.328
1/1/2016,72,5.411
2/1/2016,73,5.369
3/1/2016,74,5.364
4/1/2016,75,5.399
5/1/2016,76,5.365
6/1/2016,77,5.269
7/1/2016,78,5.184
8/1/2016,79,5.272
9/1/2016,80,5.023
10/1/2016,81,5.352
11/1/2016,82,4.914
12/1/2016,83,4.895
1/1/2017,84,4.933
2/1/2017,85,4.967
3/1/2017,86,4.799
4/1/2017,87,4.794
5/1/2017,88,4.748
6/1/2017,89,4.797
7/1/2017,90,4.851
8/1/2017,91,4.862
9/1/2017,92,5.01
10/1/2017,93,5.028
11/1/2017,94,5.006
12/1/2017,95,4.95
1/1/2018,96,5.021
2/1/2018,97,5.082
3/1/2018,98,5.064
4/1/2018,99,5.03
5/1/2018,100,5.131
6/1/2018,101,5.234
7/1/2018,102,5.065
8/1/2018,103,5.118
9/1/2018,104,5.128
10/1/2018,105,5.158
11/1/2018,106,5.229
12/1/2018,107,5.36
1/1/2019,108,5.372
2/1/2019,109,5.247
3/1/2019,110,5.193
4/1/2019,111,5.29
5/1/2019,112,5.327
6/1/2019,113,5.254
7/1/2019,114,5.349
8/1/2019,115,5.367
9/1/2019,116,5.406
10/1/2019,117,5.277
11/1/2019,118,5.309
12/1/2019,119,5.302
