Year,Years After 1950,Ave Global Temp in C
1950,0,13.77
1951,1,13.87
1952,2,13.95
1953,3,14.00
1954,4,13.81
1955,5,13.78
1956,6,13.74
1957,7,13.96
1958,8,13.99
1959,9,13.98
1960,10,13.91
1961,11,13.98
1962,12,13.96
1963,13,13.97
1964,14,13.74
1965,15,13.83
1966,16,13.87
1967,17,13.91
1968,18,13.85
1969,19,14.00
1970,20,13.96
1971,21,13.84
1972,22,13.96
1973,23,14.10
1974,24,13.85
1975,25,13.91
1976,26,13.85
1977,27,14.11
1978,28,14.01
1979,29,14.10
1980,30,14.21
1981,31,14.25
1982,32,14.07
1983,33,14.25
1984,34,14.09
1985,35,14.06
1986,36,14.13
1987,37,14.24
1988,38,14.30
1989,39,14.19
1990,40,14.35
1991,41,14.32
1992,42,14.14
1993,43,14.17
1994,44,14.23
1995,45,14.38
1996,46,14.25
1997,47,14.39
1998,48,14.53
1999,49,14.31
2000,50,14.31
2001,51,14.45
2002,52,14.52
2003,53,14.53
2004,54,14.46
2005,55,14.59
2006,56,14.55
2007,57,14.55
2008,58,14.44
2009,59,14.57
2010,60,14.63
2011,61,14.52
2012,62,14.56
2013,63,14.58
2014,64,14.66
2015,65,14.82
2016,66,14.93
2017,67,14.84
2018,68,14.77
2019,69,14.89
2020,70,14.92
2021,71,14.77
2022,72,14.8
2023,73,15.09
2024,74,15.19
