Entity,Year,Number of people below $2.15 a day
World,1990,1996227602
World,1991,2005040128
World,1992,1990088260
World,1993,1973094217
World,1994,1927401397
World,1995,1871366990
World,1996,1809651598
World,1997,1823914890
World,1998,1861029636
World,1999,1829016261
World,2000,1781378570
World,2001,1749837843
World,2002,1684286870
World,2003,1622152162
World,2004,1520878176
World,2005,1412287245
World,2006,1377134105
World,2007,1311133534
World,2008,1269448462
World,2009,1224150879
World,2010,1126733692
World,2011,994740205
World,2012,939526609
World,2013,841515360
World,2014,811773119
World,2015,793044231
World,2016,778247036
World,2017,722637526
World,2018,673542250
World,2019,648095132
