Year,Year Since 1980,Germany,U.S.,Spain,China,Denmark,World
1980,0,0,8,0,,5,10
1981,1,0,18,0,,7,25
1982,2,0,84,0,,12,90
1983,3,0,254,0,,20,210
1984,4,0,653,0,,27,600
1985,5,0,945,0,,50,1020
1986,6,0,1265,0,,82,1270
1987,7,5,1333,0,,115,1450
1988,8,15,1231,0,,197,1580
1989,9,27,1332,0,,262,1730
1990,10,62,1484,0,,343,1930
1991,11,112,1709,5,,413,2170
1992,12,180,1680,50,,458,2510
1993,13,335,1635,60,,487,2990
1994,14,643,1663,70,,539,3490
1995,15,1130,1612,140,38,637,4780
1996,16,1548,1614,230,79,835,6100
1997,17,2080,1611,512,170,1120,7600
1998,18,2870,1837,830,224,1428,10200
1999,19,4445,2490,1584,268,1718,13600
2000,20,6113,2566,2235,346,2300,17400
2001,21,8754,4261,3337,402,2417,23900
2002,22,12001,4685,4830,469,2889,31100
2003,23,14609,6374,6202,567,3110,39431
2004,24,16629,6740,8263,764,3117,47620
2005,25,18415,9149,10027,1260,3122,59091
2006,26,20622,11575,11623,2604,3137,74133
2007,27,22247,16904,15154,5906,3125,93710
2008,28,23902,25369,16740,12200,3163,120903
2009,29,25777,35086,19149,25104,3480,158677
2010,30,27204,40267,20676,44773,3802,200457
2011,31,29075,46916,21673,62364,3952,238038
2012,32,31315,60007,22785,75324,4162,282587
2013,33,34660,61110,22959,91413,4808,318105
2014,34,39153,65877,22986,114599,4896,371022
2015,35,44946,73992,22988,144901,5070,432883
2016,36,49500,82300,23000,168700,5200,486900
2017,37,55876,88973,23092,188930,5503,539100
2018,38,59000,96400,23500,209500,6100,591500
2019,39,60840,105591,25704,236320,6104,650100
2020,40,62167,121985,27445,290747,6218,778000
