Entity,Code,Year,GDP per capita,Life expectancy at birth (historical),Population (historical estimates)
Nigeria,NGA,2018,5237.662109,52.6,198387616
Chad,TCD,2018,2046.363159,52.8,15604213
Lesotho,LSO,2018,2731.466064,53.7,2198030
Central African Republic,CAF,2018,623.4888916,54.4,5094795
Cote d'Ivoire,CIV,2018,3713.643555,58.8,25493990
Guinea,GIN,2018,1606.466553,59.3,12554871
Mali,MLI,2018,1667.295044,59.4,19934304
Eswatini,SWZ,2018,8068.211914,59.4,1160430
Sierra Leone,SLE,2018,1683.849731,59.8,7861287
Democratic Republic of Congo,COD,2018,859.3817139,59.9,87087352
Burkina Faso,BFA,2018,1589.624146,60,20392730
Benin,BEN,2018,2220.176514,60.1,11940688
Togo,TGO,2018,1451.36084,60.2,8046680
Mozambique,MOZ,2018,1132.770874,60.5,29423882
Guinea-Bissau,GNB,2018,1501.413574,60.5,1924954
Liberia,LBR,2018,818.4210815,60.9,4889396
Cameroon,CMR,2018,2888.045898,61.2,25076752
Equatorial Guinea,GNQ,2018,28528.95313,61.2,1502102
Zimbabwe,ZWE,2018,1611.405151,61.4,15052191
Burundi,BDI,2018,651.3588867,61.7,11493476
Angola,AGO,2018,7771.441895,62.1,31273538
Zambia,ZMB,2018,3534.033691,62.3,17835898
Niger,NER,2018,964.6600952,62.5,22577060
Namibia,NAM,2018,9043.120117,62.6,2405682
Uganda,UGA,2018,2045.420288,62.7,41515400
Kenya,KEN,2018,3377.470459,62.7,49953300
Gambia,GMB,2018,1882.239868,63,2444916
Djibouti,DJI,2018,3295.681396,63,1057204
Afghanistan,AFG,2018,1934.555054,63.1,36686788
Malawi,MWI,2018,1116.640259,63.3,18367886
Comoros,COM,2018,1724.420654,63.9,776322
Haiti,HTI,2018,1729.043213,64,11012427
Ghana,GHA,2018,4267.066895,64.1,30870648
Congo,COG,2018,5714.591797,64.1,5441061
Yemen,YEM,2018,2284.889893,64.6,30790514
Madagascar,MDG,2018,1427.600342,65.3,26846544
Mauritania,MRT,2018,3457.514893,65.3,4270717
Ethiopia,ETH,2018,1838.490356,65.4,111129440
Botswana,BWA,2018,15842.12988,65.4,2451411
South Africa,ZAF,2018,12165.79492,65.7,57339632
Rwanda,RWA,2018,1929.285156,66.3,12531810
Gabon,GAB,2018,17613.55664,66.3,2192013
Tanzania,TZA,2018,2874.962891,66.5,58090444
Pakistan,PAK,2018,5510.396484,66.5,219731488
Myanmar,MMR,2018,5838.217285,66.5,52666016
Laos,LAO,2018,6450.906738,67.6,7105008
Bolivia,BOL,2018,6695.774414,67.7,11606906
Senegal,SEN,2018,2617.124512,68.1,15574910
Sao Tome and Principe,STP,2018,3730.20459,68.4,211358
Turkmenistan,TKM,2018,26318.36523,68.8,6065072
Nepal,NPL,2018,2727.423828,69,28506718
Syria,SYR,2018,3349.459717,70.1,19333464
Indonesia,IDN,2018,11851.7373,70.3,267066848
Tajikistan,TJK,2018,4440.381836,70.4,9128131
Moldova,MDA,2018,6746.728516,70.5,3141839
Cambodia,KHM,2018,3628.561035,70.6,16025242
Kyrgyzstan,KGZ,2018,5176.988281,70.7,6223503
India,IND,2018,6806.498535,70.7,1369003264
Uzbekistan,UZB,2018,11220.37012,71.1,32449578
Mongolia,MNG,2018,13382.54199,71.2,3163994
Egypt,EGY,2018,11957.21191,71.4,103740768
Iraq,IRQ,2018,12835.8125,71.5,40590700
Kazakhstan,KAZ,2018,25307.55469,71.5,18538100
Philippines,PHL,2018,8139.139648,71.7,108568832
Jamaica,JAM,2018,7272.980469,71.8,2811842
Venezuela,VEN,2018,10709.9502,72,29825652
Bangladesh,BGD,2018,4099.25293,72.6,163683952
El Salvador,SLV,2018,8598.198242,72.6,6276340
World,OWID_WRL,2018,15212.41504,72.6,7683789824
Guatemala,GTM,2018,7402.114746,72.7,16850176
Honduras,HND,2018,5041.635254,72.8,9792854
Libya,LBY,2018,15013.3125,72.8,6477791
Azerbaijan,AZE,2018,16628.05469,72.8,10152524
North Korea,PRK,2018,1596.351685,73,25638152
Dominican Republic,DOM,2018,15912.39941,73.2,10765532
Georgia,GEO,2018,11984.90527,73.3,3772323
Saint Lucia,LCA,2018,10475.36914,73.4,177894
Russia,RUS,2018,24668.9082,73.5,145652288
Dominica,DMA,2018,9021.173828,73.6,70840
Paraguay,PRY,2018,9338.948242,73.6,6443337
Nicaragua,NIC,2018,4952.477051,73.8,6572234
Trinidad and Tobago,TTO,2018,28549.4082,73.8,1504707
Vietnam,VNM,2018,6814.14209,74,94914328
Morocco,MAR,2018,8451.135742,74,35927516
Mexico,MEX,2018,16494.07813,74,124013864
Seychelles,SYC,2018,29531.06055,74,103120
Ukraine,UKR,2018,9813.363281,74.4,44446952
Belarus,BLR,2018,18727.31836,74.6,9695573
Palestine,PSE,2018,5207.756836,74.8,4805549
Bulgaria,BGR,2018,18444.25977,74.9,7117424
Mauritius,MUS,2018,20138.57227,74.9,1295386
Latvia,LVA,2018,24312.67773,75,1935632
Armenia,ARM,2018,11454.4248,75.1,2836563
Brazil,BRA,2018,14033.56543,75.1,210166592
Malaysia,MYS,2018,24842.35547,75.6,32399270
Cape Verde,CPV,2018,6831.21582,75.7,571209
Sri Lanka,LKA,2018,11662.90625,75.7,21580712
Lithuania,LTU,2018,27370.55469,75.7,2876128
Jordan,JOR,2018,11506.33789,75.8,10459864
Tunisia,TUN,2018,11353.88672,76,11933040
Peru,PER,2018,12310.08496,76,32203946
Algeria,DZA,2018,14228.02539,76.1,41927008
Iran,IRN,2018,17011.30469,76.2,85617560
Romania,ROU,2018,20126.29297,76.2,19606778
Hungary,HUN,2018,25622.8125,76.2,9776361
Serbia,SRB,2018,14124.11816,76.5,7433825
Colombia,COL,2018,13545.0498,76.7,49276968
Argentina,ARG,2018,18556.38281,77,44413592
Bosnia and Herzegovina,BIH,2018,10460.52051,77.1,3400132
Ecuador,ECU,2018,10638.8252,77.1,17015672
Barbados,BRB,2018,11995.18652,77.1,279702
Montenegro,MNE,2018,19504.1582,77.2,631459
Saudi Arabia,SAU,2018,50304.75,77.2,35018132
North Macedonia,MKD,2018,13074.23145,77.3,2113497
Slovakia,SVK,2018,27075.53516,77.3,5446746
Cuba,CUB,2018,8325.630859,77.5,11328243
Turkey,TUR,2018,19270.2207,77.6,82809304
Uruguay,URY,2018,20185.83594,77.6,3427044
Poland,POL,2018,27455.23633,77.6,38521464
China,CHN,2018,13101.70605,77.7,1417069440
Panama,PAN,2018,22637.14844,77.9,4165258
Oman,OMN,2018,36477.63672,78,4601160
Estonia,EST,2018,27408.66406,78.1,1322146
Croatia,HRV,2018,22012.31445,78.3,4160488
Thailand,THA,2018,16648.62305,78.7,71127808
Czechia,CZE,2018,30748.50781,79,10534598
United States,USA,2018,55334.73828,79,332140032
Albania,ALB,2018,11104.16602,79.2,2877019
Costa Rica,CRI,2018,14686.25391,79.5,5040738
United Arab Emirates,ARE,2018,76397.82031,79.6,9140172
Lebanon,LBN,2018,12558.9668,79.7,5950842
Kuwait,KWT,2018,65520.73828,79.7,4317190
Puerto Rico,PRI,2018,35076.29297,79.8,3319269
Bahrain,BHR,2018,39498.76563,79.9,1487346
Chile,CHL,2018,22104.76563,80.1,18701452
Taiwan,TWN,2018,44663.86328,80.5,23726186
Qatar,QAT,2018,153764.1719,80.9,2766743
Denmark,DNK,2018,46312.34375,81,5766689
United Kingdom,GBR,2018,38058.08594,81.1,66432996
Germany,DEU,2018,46177.61719,81.2,82896696
Greece,GRC,2018,23450.76563,81.4,10633275
Portugal,PRT,2018,27035.59961,81.4,10289833
Cyprus,CYP,2018,27184.41602,81.4,1218834
Slovenia,SVN,2018,29244.91992,81.4,2105931
Belgium,BEL,2018,39756.20313,81.5,11448598
Finland,FIN,2018,38896.69922,81.6,5515465
Austria,AUT,2018,42988.07031,81.7,8840518
Netherlands,NLD,2018,47474.10938,81.8,17286042
Luxembourg,LUX,2018,57427.5,81.8,607920
Canada,CAN,2018,44868.74219,82.1,37035260
Ireland,IRL,2018,64684.30078,82.1,4834506
New Zealand,NZL,2018,35336.13672,82.4,4838528
Sweden,SWE,2018,45541.89063,82.5,10162300
France,FRA,2018,38515.91797,82.6,64277812
Israel,ISR,2018,32954.76953,82.8,8456487
Iceland,ISL,2018,43438.54297,82.8,352951
Norway,NOR,2018,84580.13281,82.8,5312321
Spain,ESP,2018,31496.51953,83.1,46792044
Italy,ITA,2018,34364.16797,83.2,59877432
Malta,MLT,2018,32028.91211,83.3,491590
South Korea,KOR,2018,37927.60938,83.3,51676900
Australia,AUS,2018,49830.80078,83.4,24979228
Singapore,SGP,2018,68402.34375,83.5,5814543
Switzerland,CHE,2018,61372.73047,83.6,8514431
Japan,JPN,2018,38673.80859,84.3,126255872
Hong Kong,HKG,2018,50839.37109,85.2,7481563
