MSA,Water_Using_Cluster,Days,Bathtub_prop,RO_system_prop,Humidifer_prop,Evaporative_cooler_prop,Ice_make_prop,Year_built_mean,Home_value_per_sqft_prctl_mean,Home_size_prctl_mean,Avg_msa_daily_temp,Avg_msa_daily_ppt,daily_vol_cw_pc,daily_vol_dw_pc,daily_vol_faucet_pc,daily_vol_indoor_pc,daily_vol_leak_pc,daily_vol_shower_pc,daily_vol_soft_pc,daily_vol_toilet_pc,Daily_vol_mean
"Atlanta, Ga",Medium Water-Using Cluster,1,0.569565217,0.034782609,0.1,0.004347826,0.4,28.70614035,0.489537462,0.497161218,9.466694,1.7312065,47.01390014,6.303291059,15.37939985,16.03413837,31.6004158,51.71655581,,48.12370652,127.238618
"Atlanta, Ga",Medium Water-Using Cluster,2,0.554585153,0.034934498,0.100436681,0.004366812,0.388646288,28.41409692,0.49359505,0.5018832,6.541802,0.000187617,48.39106016,5.460879634,15.27185071,10.55163212,27.14915731,47.49983113,,47.2333094,118.4772598
"Atlanta, Ga",Medium Water-Using Cluster,3,0.557939914,0.034334764,0.098712446,0.004291845,0.386266094,28.3982684,0.491274455,0.499546276,10.098582,0.5971169,55.9931529,6.370195058,17.85009345,16.11070996,24.23874601,51.48433341,28.34979675,54.25395562,137.6760936
"Atlanta, Ga",Medium Water-Using Cluster,4,0.564102564,0.034188034,0.094017094,0.004273504,0.393162393,27.86637931,0.490560957,0.508076553,12.063975,2.61397,54.11659603,6.228733527,18.0674446,13.45165717,33.48843067,57.39540624,19.1284929,54.97486347,146.5575621
"Atlanta, Ga",Medium Water-Using Cluster,5,0.561702128,0.034042553,0.093617021,0.004255319,0.391489362,28.11587983,0.492896289,0.504501595,10.950415,0.3543707,52.13754578,6.001619564,16.08446186,18.16650276,30.65892212,56.93798124,,51.36126447,136.3529546
"Atlanta, Ga",Medium Water-Using Cluster,6,0.55982906,0.034188034,0.094017094,0.004273504,0.384615385,27.90086207,0.487321907,0.511503778,9.37033,37.29163,43.95361461,5.927313609,16.73378822,16.51043243,36.36696991,52.91565711,28.67794653,49.19454593,128.482402
"Atlanta, Ga",Medium Water-Using Cluster,7,0.558823529,0.033613445,0.092436975,0.004201681,0.390756303,27.9279661,0.48694629,0.505698049,11.789403,1.3631395,47.50178365,6.281116286,17.40999091,17.00338863,41.56632982,56.06542198,102.9070438,48.9810516,134.1447198
"Atlanta, Ga",Medium Water-Using Cluster,8,0.560669456,0.033472803,0.092050209,0.0041841,0.389121339,27.80590717,0.483788693,0.505107324,17.06386,1.456419,51.95040487,5.611576315,16.71032906,13.21216809,22.46278606,51.65259183,,50.62739831,130.6561577
"Atlanta, Ga",Medium Water-Using Cluster,9,0.564853556,0.033472803,0.092050209,0.0041841,0.389121339,27.98734177,0.490794635,0.496982778,18.95791,0.29632783,49.81546119,6.986366708,14.83384222,13.22503594,22.49842892,51.37742961,28.39667529,49.3402623,124.125453
"Atlanta, Ga",Medium Water-Using Cluster,10,0.578947368,0.032388664,0.097165992,0.004048583,0.392712551,27.64897959,0.493833388,0.502361502,15.29042,15.154265,53.50593194,6.190984657,17.38445185,12.8637841,25.51428184,52.4087688,,54.65391729,137.7765372
"Atlanta, Ga",Medium Water-Using Cluster,11,0.577868852,0.032786885,0.102459016,0.004098361,0.389344262,27.71487603,0.497827171,0.498398096,11.786107,1.4745914,56.68337096,6.166161455,18.30138303,13.93515804,27.9051987,57.33253087,11.89542939,54.35251958,142.6467116
"Atlanta, Ga",Medium Water-Using Cluster,12,0.579365079,0.031746032,0.099206349,0.003968254,0.392857143,28.02,0.490313459,0.496503844,11.098714,9.227136,48.83004555,6.113170378,17.00674899,16.84500224,26.16890153,57.26669215,28.33807712,48.97095898,137.4960393
"Atlanta, Ga",Medium Water-Using Cluster,13,0.586345382,0.02811245,0.108433735,0.004016064,0.397590361,28.06477733,0.498989906,0.499239848,11.773226,0.011079907,47.50785696,6.598113229,16.22054049,15.38022189,32.86323925,53.25794613,23.30501973,50.23256564,128.8593128
"Atlanta, Ga",Medium Water-Using Cluster,14,0.592,0.032,0.108,0.004,0.4,28.16129032,0.496003023,0.496459932,9.025164,0.015678972,47.39286681,6.257582588,16.57145493,16.09124023,48.81253442,50.77435673,46.8286088,51.6931309,134.3235738
"Atlanta, Ga",Medium Water-Using Cluster,15,0.596837945,0.031620553,0.110671937,0.003952569,0.403162055,28.25896414,0.493643274,0.499458981,9.223918,35.92896,51.75462954,5.85306922,16.94820024,14.75238175,33.73142229,53.08212639,,52.27188565,136.3900872
"Atlanta, Ga",Medium Water-Using Cluster,16,0.591093117,0.032388664,0.105263158,0.004048583,0.392712551,28.04081633,0.497224441,0.496410638,7.469123,0.014088941,53.03708393,6.356906192,16.01042204,18.85940298,75.5726554,50.42347977,,49.53270766,133.0157035
"Atlanta, Ga",Medium Water-Using Cluster,17,0.605577689,0.03187251,0.107569721,0.003984064,0.402390438,27.65060241,0.491851508,0.507357925,6.0582614,0.000180919,64.31018324,6.496079487,17.73395182,15.70541629,53.9489144,55.73428351,28.34979675,54.03075934,144.2058729
"Atlanta, Ga",Medium Water-Using Cluster,18,0.608,0.028,0.108,0.004,0.408,28.05645161,0.498816621,0.496007587,3.301975,0,54.62472778,6.763853103,18.00828059,15.4384458,36.90586614,56.59802305,38.79199142,55.66310964,146.6272802
"Atlanta, Ga",Medium Water-Using Cluster,19,0.606299213,0.027559055,0.106299213,0.003937008,0.417322835,27.84126984,0.497308893,0.499836445,2.1299706,3.23E-05,54.369164,6.293710442,18.07631423,9.661775832,56.48631261,55.19108348,11.6107446,54.2672834,140.0158368
"Atlanta, Ga",Medium Water-Using Cluster,20,0.606299213,0.027559055,0.102362205,0.003937008,0.405511811,27.92857143,0.496481089,0.498441088,3.5172906,0.5641029,49.7251479,6.232928443,17.2632118,14.76191062,23.1727453,54.5377916,24.55849487,51.33901187,132.2766009
"Atlanta, Ga",Medium Water-Using Cluster,21,0.609195402,0.026819923,0.103448276,0.003831418,0.409961686,27.64864865,0.497707354,0.501972666,3.8762035,4.469477,55.93649016,6.288568201,16.2066968,16.64393801,21.0248646,55.49332632,,52.7956115,134.6775487
"Atlanta, Ga",Medium Water-Using Cluster,22,0.609375,0.03125,0.10546875,0.00390625,0.41796875,27.66141732,0.501210379,0.503732158,6.752169,1.2132639,56.69367696,5.917638807,16.76864839,18.62986231,31.30188139,54.4960606,,53.18683743,135.3868893
"Atlanta, Ga",Medium Water-Using Cluster,23,0.614754098,0.032786885,0.110655738,0.004098361,0.422131148,27.53305785,0.497795448,0.509627696,1.5372461,1.8189976,57.12148495,7.038494638,19.57646631,13.75525434,45.68576434,57.409717,29.95538673,59.33176729,150.1296124
"Atlanta, Ga",Medium Water-Using Cluster,24,0.625514403,0.028806584,0.106995885,0.004115226,0.427983539,27.73029046,0.504646667,0.514324453,-9.83992,0.019368302,48.79582999,7.198980543,19.37125321,12.12953739,66.19086524,62.28014884,32.04527315,58.95419588,153.2273428
