FIPS,County,State,Total.Pop.2023,Sex.Ratio.2023,Sex.Ratio.2013,Sex.Ratio.2003,Sex.Ratio.Age.0.19.2023,Sex.Ratio.Age.20.39.2023,Sex.Ratio.Age.40.59.2023,Sex.Ratio.Age.60.79.2023,Sex.Ratio.Age.80plus.2023
1001,Autauga County,Alabama,60342,94.24432641,94.43970724,94.69049138,105.8579644,94.7300936,93.97097134,87.12494047,63.75087474
1003,Baldwin County,Alabama,253507,94.99038535,95.28924874,95.66640887,104.7845207,97.51176387,93.27841061,89.1663683,79.91867376
1005,Barbour County*,Alabama,24585,113.4299852,114.5007167,110.6612396,103.3699634,154.4977814,128.2740348,87.06081081,63.27683616
1007,Bibb County*,Alabama,21868,111.5302766,116.2985017,106.9356748,103.3876501,140.6995885,121.8133536,90.56284384,60.48526863
1009,Blount County,Alabama,59816,98.98868929,97.44029058,99.83266399,103.3541554,103.2420749,99.96075867,94.19743783,73.71273713
1011,Bullock County*,Alabama,9897,123.056119,119.5421436,117.3084328,112.571977,169.373073,144.5771144,91.63732394,51.60142349
1013,Butler County,Alabama,18382,87.89737299,87.1127861,89.1091848,110.4274307,89.19043238,83.35388409,82.63246426,47.23467862
1015,Calhoun County,Alabama,116429,94.01599733,93.02772668,92.34685043,103.9186821,98.59006457,95.57808759,84.72468917,56.39677532
1017,Chambers County,Alabama,34079,89.46461333,91.94310132,90.98123324,100.3041825,92.85367039,89.02358387,84.54545455,56.1049445
1019,Cherokee County,Alabama,25666,100,99.02845777,96.86146302,108.2971158,100.4867091,103.5525086,95.39634977,77.6298269
1021,Chilton County,Alabama,46431,96.6415382,97.40283245,97.6855431,100.0328623,100.8053221,100.8782504,88.49380743,68.43156843
1023,Choctaw County,Alabama,12252,90.93034128,91.74180621,90.32177288,110.8816521,93.29268293,89.6965866,82.10757409,67.87330317
1025,Clarke County,Alabama,22337,90.00510378,89.96597353,90.42493316,102.7139088,88.93412287,90.23638232,86.60550459,60.6340819
1027,Clay County,Alabama,14111,95.01105583,95.10917031,95.50389755,104.8717949,93.69202226,98.25136612,94.08385985,59.01639344
1029,Cleburne County,Alabama,15639,98.3134669,98.06903849,99.56974323,103.060166,105.3881808,101.8054162,88.90097933,70.75
1031,Coffee County,Alabama,55643,98.28593828,97.95719084,95.9818044,104.4556536,104.8875562,100.8547009,87.90059983,62.58768511
1033,Colbert County,Alabama,58361,92.19192518,92.51871205,92.77959126,101.1918951,96.52402714,93.0891592,84.60795141,66.74473068
1035,Conecuh County,Alabama,11174,93.69041428,92.54399046,91.45628298,104.4628099,95.88477366,90.0862069,92.4516129,71.89054726
1037,Coosa County,Alabama,10268,102.285264,102.1192529,100.2813929,107.7537058,113.9318885,98.52616065,97.56254009,90.76433121
1039,Covington County,Alabama,37952,93.06134907,93.30334322,92.21415035,105.380169,94.82559483,93.58072084,90.97791798,52.99206921
1041,Crenshaw County,Alabama,13101,96.32848794,94.97324697,90.30354132,110.9833972,95.87894398,91.42171566,95.41343669,58.99705015
1043,Cullman County,Alabama,92016,99.19038857,98.23117553,97.88247214,106.4762782,104.8510174,101.8204204,90.5031091,65.48785684
1045,Dale County,Alabama,49871,96.28842445,98.27503785,98.82328823,104.2965595,103.0899727,91.97363974,89.83360761,68.86715566
1047,Dallas County,Alabama,36165,87.09260217,86.48540584,84.45466982,108.6339044,85.92,79.9143469,80.5601318,61.73212487
1049,DeKalb County,Alabama,72569,99.96417845,97.67513171,96.97638359,107.2005237,105.1417814,100.2402271,93.17340819,63.39668915
1051,Elmore County*,Alabama,90441,94.71871165,94.04862299,102.4125975,107.120743,97.72447219,91.49893634,87.59532283,65.28442318
1053,Escambia County,Alabama,36558,100,106.0058913,104.1282436,105.5961626,113.3068288,107.2443833,84.23809524,55.97365945
1055,Etowah County,Alabama,103241,94.33965816,93.87130487,92.19489386,107.8649789,96.09356353,94.56850173,86.36218969,61.17601246
1057,Fayette County,Alabama,15967,97.39151935,98.77126654,93.93100511,110.1449275,96.0385439,102.2501308,88.98721731,71.36929461
1059,Franklin County,Alabama,31802,100.2140519,99.98098618,97.01435161,106.0877773,105.3995091,104.845815,89.48317308,67.2979798
1061,Geneva County,Alabama,26988,96.2478185,96.05350187,94.45633889,104.0880503,100.5964215,98.30118054,91.84666869,57.55667506
1063,Greene County,Alabama,7341,87.03184713,90.54672185,89.29411765,90.50772627,102.0330368,86.74418605,78.28054299,68.16479401
1065,Hale County,Alabama,14888,89.58359862,88.89852559,103.730078,107.0341207,87.00417537,81.15154807,90.30612245,56.67447307
1067,Henry County,Alabama,17899,92.48306269,93.50429282,91.02174421,102.2132797,94.00206825,92.64521521,88.40639082,69.06077348
1069,Houston County,Alabama,108462,92.01232142,92.23050671,90.82710857,107.3395907,92.01611163,91.27670215,84.02186646,60.88362069
1071,Jackson County,Alabama,53467,97.65258216,96.866171,95.41750411,107.2547684,100.0326424,101.0180337,90.72256913,64.89655172
1073,Jefferson County,Alabama,662895,90.07251426,89.99210366,89.66604089,102.1673231,91.37722261,90.46371307,81.16180849,55.98312784
1075,Lamar County,Alabama,13661,97.81349551,95.05901729,94.27687548,108.4390863,102.5552486,96.83098592,93.64801865,65.8008658
1077,Lauderdale County,Alabama,96814,92.61101385,91.39653962,91.79293765,100.1158955,96.79932778,95.16057684,86.51206411,59.67852257
1079,Lawrence County,Alabama,33502,95.90667212,95.07872872,96.08200456,106.549314,99.37201708,96.4075915,87.58741259,67.11003628
1081,Lee County,Alabama,183215,97.23654606,97.96439982,97.23215905,104.0598385,100.9508389,95.48087008,89.01989683,67.090301
