Year,Years After 1950,Ave Global Temp in C
1950,0,13.77
1951,1,13.89
1952,2,13.95
1953,3,14.00
1954,4,13.83
1955,5,13.77
1956,6,13.74
1957,7,13.96
1958,8,13.99
1959,9,13.98
1960,10,13.89
1961,11,13.98
1962,12,13.94
1963,13,13.96
1964,14,13.72
1965,15,13.82
1966,16,13.87
1967,17,13.90
1968,18,13.85
1969,19,13.99
1970,20,13.94
1971,21,13.82
1972,22,13.96
1973,23,14.07
1974,24,13.86
1975,25,13.90
1976,26,13.84
1977,27,14.10
1978,28,14.02
1979,29,14.09
1980,30,14.19
1981,31,14.23
1982,32,14.06
1983,33,14.22
1984,34,14.07
1985,35,14.05
1986,36,14.12
1987,37,14.23
1988,38,14.28
1989,39,14.16
1990,40,14.32
1991,41,14.31
1992,42,14.14
1993,43,14.16
1994,44,14.22
1995,45,14.36
1996,46,14.25
1997,47,14.38
1998,48,14.51
1999,49,14.30
2000,50,14.31
2001,51,14.43
2002,52,14.50
2003,53,14.50
2004,54,14.44
2005,55,14.57
2006,56,14.53
2007,57,14.53
2008,58,14.43
2009,59,14.55
2010,60,14.61
2011,61,14.50
2012,62,14.54
2013,63,14.57
2014,64,14.64
2015,65,14.78
2016,66,14.90
2017,67,14.83
2018,68,14.77
2019,69,14.89
2020,70,14.92
2021,71,14.76
2022,72,14.8
2023,73,15.07
2024,74,15.16
2025,75,15.03
