Title,AvailableGlobally,ReleaseDate,HoursViewed,RuntimeMinutes,Views,Type
Back in Action,Yes,1/17/2025,313000000,114,164700000,Movie
Adolescence: Limited Series,Yes,3/13/2025,555100000,230,144800000,Show
Squid Game: Season 2 ,Yes,12/26/2024,840300000,430,117300000,Show
STRAW,Yes,6/6/2025,185200000,108,102900000,Movie
The Life List,Yes,3/28/2025,198900000,125,95500000,Movie
Exterritorial,Yes,4/30/2025,159000000,109,87500000,Movie
Havoc,Yes,4/25/2025,154900000,107,86900000,Movie
The Secret Life of Pets 2,No,,106800000,86,74500000,Movie
The Electric State,Yes,3/14/2025,158200000,128,74200000,Movie
Squid Game: Season 3 ,Yes,6/27/2025,438600000,368,71500000,Show
Counterattack ,Yes,2/28/2025,101000000,85,71300000,Movie
Despicable Me 4,No,,109400000,94,69800000,Movie
Ad Vitam,Yes,1/10/2025,114000000,98,69800000,Movie
The Secret Life of Pets,No,,95600000,87,65900000,Movie
Zero Day: Limited Series,Yes,2/20/2025,315800000,309,61300000,Show
Kinda Pregnant,Yes,2/5/2025,98100000,100,58900000,Movie
Missing You: Limited Series,Yes,1/1/2025,218600000,226,58000000,Show
Nonnas,Yes,5/9/2025,109500000,114,57600000,Movie
iHostage,Yes,4/18/2025,97600000,102,57400000,Movie
American Murder: Gabby Petito: Season 1,Yes,2/17/2025,120600000,129,56100000,Show
La Dolce Villa,Yes,2/13/2025,91500000,99,55500000,Movie
The Boss Baby,No,,90100000,98,55200000,Movie
Minions,No,,82100000,91,54100000,Movie
Shrek,No,,80200000,90,53500000,Movie
Ms. Rachel: Season 1,Yes,,162100000,182,53400000,Show
Sirens: Limited Series,Yes,5/22/2025,252300000,284,53300000,Show
The Night Agent: Season 2,Yes,1/23/2025,457800000,516,53200000,Show
Plankton: The Movie,Yes,3/7/2025,74200000,88,50600000,Movie
Despicable Me 3,No,,73600000,90,49100000,Movie
Ginny & Georgia: Season 3,Yes,6/5/2025,508200000,634,48100000,Show
Carry-On,Yes,12/13/2024,95400000,120,47700000,Movie
American Primeval: Limited Series,Yes,1/9/2025,234300000,302,46500000,Show
Despicable Me 2,No,,75000000,98,45900000,Movie
Shrek 2,No,,69000000,93,44500000,Movie
Bad Influence ,Yes,5/9/2025,78600000,107,44100000,Movie
K.O.,Yes,6/6/2025,63100000,87,43500000,Movie
Squid Game: Season 1 ,Yes,9/17/2021,348900000,499,42000000,Show
A Widow's Game ,Yes,5/30/2025,83900000,122,41300000,Movie
Running Point: Season 1,Yes,2/27/2025,209200000,304,41300000,Show
Sing (2016),No,,73900000,108,41100000,Movie
Venom: The Last Dance,No,,71900000,109,39600000,Movie
The Four Seasons: Season 1,Yes,5/1/2025,169300000,258,39400000,Show
Cassandra: Limited Series,Yes,2/6/2025,193800000,296,39300000,Show
The Super Mario Bros. Movie,No,,59700000,92,38900000,Movie
The Croods,No,,62400000,98,38200000,Movie
KPop Demon Hunters,Yes,6/20/2025,61100000,100,36700000,Movie
American Manhunt: Osama bin Laden: Season 1,Yes,5/14/2025,112100000,184,36600000,Show
You: Season 5,Yes,4/24/2025,308700000,507,36500000,Show
Despicable Me,No,,57100000,95,36100000,Movie
"XO, Kitty: Season 2",Yes,1/16/2025,143400000,244,35300000,Show
Honeymoon Crasher ,Yes,2/12/2025,55200000,95,34900000,Movie
When Life Gives You Tangerines: Limited Series ,Yes,3/7/2025,577000000,995,34800000,Show
PAW Patrol: The Mighty Movie,No,,50700000,88,34600000,Movie
Kraven the Hunter,No,,73000000,127,34500000,Movie
The Trauma Code: Heroes on Call: Season 1 ,Yes,1/24/2025,236600000,416,34100000,Show
Secrets We Keep: Limited Series ,Yes,5/15/2025,126200000,224,33800000,Show
The Emoji Movie,No,,48700000,87,33600000,Movie
Demon City ,Yes,2/27/2025,60500000,108,33600000,Movie
The Gardener: Limited Series ,Yes,4/11/2025,156500000,280,33500000,Show
Bee Movie,No,,51200000,92,33400000,Movie
Bullet Train Explosion ,Yes,4/23/2025,76300000,137,33400000,Movie
The Residence: Season 1,Yes,3/20/2025,257600000,464,33300000,Show
The Åre Murders: Season 1 ,Yes,2/6/2025,118400000,218,32600000,Show
A Deadly American Marriage,Yes,5/9/2025,55500000,103,32300000,Movie
La Palma: Limited Series,Yes,12/12/2024,96400000,184,31400000,Show
Last Bullet ,Yes,5/7/2025,59000000,113,31300000,Movie
Rebel Ridge,Yes,9/6/2024,68500000,132,31100000,Movie
Mission: Impossible - Dead Reckoning,No,,85000000,164,31100000,Movie
Black Mirror: Season 7,Yes,4/10/2025,188400000,371,30500000,Show
The Equalizer 2,No,,59800000,121,29700000,Movie
Squad 36 ,Yes,2/28/2025,61100000,125,29300000,Movie
The Breakthrough: Limited Series ,Yes,1/7/2025,77700000,159,29300000,Show
The Eternaut: Season 1 ,Yes,4/30/2025,156600000,324,29000000,Show
Ransom Canyon: Season 1,Yes,4/17/2025,228900000,474,29000000,Show
Lucca's World ,Yes,1/31/2025,46600000,97,28800000,Movie
The Six Triple Eight,Yes,12/20/2024,62300000,130,28800000,Movie
Hotel Transylvania 2,No,,42700000,90,28500000,Movie
