subject,item,iteml,group,groupl,naming,graphotypingl,variability
1,1,Letra O,1,hand,1,grapho,high
1,2,Letra E,1,hand,1,grapho,high
1,3,Letra L,1,hand,1,grapho,high
1,4,Letra F,1,hand,1,grapho,high
1,5,Letra N,1,hand,0,grapho,high
1,6,Letra T,1,hand,1,grapho,high
1,7,Letra S,1,hand,1,grapho,high
1,8,Letra P ,1,hand,1,grapho,high
1,9,Letra A,1,hand,1,grapho,high
2,1,Letra O,1,hand,1,grapho,high
2,2,Letra E,1,hand,1,grapho,high
2,3,Letra L,1,hand,1,grapho,high
2,4,Letra F,1,hand,1,grapho,high
2,5,Letra N,1,hand,1,grapho,high
2,6,Letra T,1,hand,1,grapho,high
2,7,Letra S,1,hand,1,grapho,high
2,8,Letra P ,1,hand,1,grapho,high
2,9,Letra A,1,hand,1,grapho,high
3,1,Letra O,1,hand,1,grapho,high
3,2,Letra E,1,hand,1,grapho,high
3,3,Letra L,1,hand,1,grapho,high
3,4,Letra F,1,hand,1,grapho,high
3,5,Letra N,1,hand,1,grapho,high
3,6,Letra T,1,hand,1,grapho,high
3,7,Letra S,1,hand,1,grapho,high
3,8,Letra P ,1,hand,1,grapho,high
3,9,Letra A,1,hand,1,grapho,high
4,1,Letra O,1,hand,1,grapho,high
4,2,Letra E,1,hand,1,grapho,high
4,3,Letra L,1,hand,1,grapho,high
4,4,Letra F,1,hand,1,grapho,high
4,5,Letra N,1,hand,1,grapho,high
4,6,Letra T,1,hand,1,grapho,high
4,7,Letra S,1,hand,1,grapho,high
4,8,Letra P ,1,hand,1,grapho,high
4,9,Letra A,1,hand,1,grapho,high
5,1,Letra O,1,hand,1,grapho,high
5,2,Letra E,1,hand,1,grapho,high
5,3,Letra L,1,hand,1,grapho,high
5,4,Letra F,1,hand,1,grapho,high
5,5,Letra N,1,hand,1,grapho,high
5,6,Letra T,1,hand,1,grapho,high
5,7,Letra S,1,hand,1,grapho,high
5,8,Letra P ,1,hand,1,grapho,high
5,9,Letra A,1,hand,1,grapho,high
6,1,Letra O,1,hand,1,grapho,high
6,2,Letra E,1,hand,1,grapho,high
6,3,Letra L,1,hand,1,grapho,high
6,4,Letra F,1,hand,1,grapho,high
6,5,Letra N,1,hand,1,grapho,high
6,6,Letra T,1,hand,1,grapho,high
6,7,Letra S,1,hand,1,grapho,high
