subject,item,iteml,group,groupl,naming,graphotypingl,variability
1,1,tofe,1,hand,1,grapho,high
1,2,leso,1,hand,1,grapho,high
1,3,nopa,1,hand,1,grapho,high
1,4,tafo,1,hand,1,grapho,high
1,5,nesa,1,hand,1,grapho,high
1,6,lape,1,hand,1,grapho,high
1,7,lose,1,hand,1,grapho,high
1,8,nepo,1,hand,1,grapho,high
1,9,tofa,1,hand,1,grapho,high
1,10,laso,1,hand,0,grapho,high
1,11,tefa,1,hand,0,grapho,high
1,12,nape,1,hand,0,grapho,high
1,13,lesa,1,hand,0,grapho,high
1,14,nafo,1,hand,0,grapho,high
1,15,tepo,1,hand,0,grapho,high
1,16,lofe,1,hand,0,grapho,high
2,1,tofe,1,hand,1,grapho,high
2,2,leso,1,hand,1,grapho,high
2,3,nopa,1,hand,1,grapho,high
2,4,tafo,1,hand,1,grapho,high
2,5,nesa,1,hand,1,grapho,high
2,6,lape,1,hand,1,grapho,high
2,7,lose,1,hand,1,grapho,high
2,8,nepo,1,hand,1,grapho,high
2,9,tofa,1,hand,1,grapho,high
2,10,laso,1,hand,1,grapho,high
2,11,tefa,1,hand,1,grapho,high
2,12,nape,1,hand,1,grapho,high
2,13,lesa,1,hand,1,grapho,high
2,14,nafo,1,hand,1,grapho,high
2,15,tepo,1,hand,1,grapho,high
2,16,lofe,1,hand,1,grapho,high
3,1,tofe,1,hand,1,grapho,high
3,2,leso,1,hand,1,grapho,high
3,3,nopa,1,hand,1,grapho,high
3,4,tafo,1,hand,1,grapho,high
3,5,nesa,1,hand,1,grapho,high
3,6,lape,1,hand,1,grapho,high
3,7,lose,1,hand,1,grapho,high
3,8,nepo,1,hand,1,grapho,high
3,9,tofa,1,hand,1,grapho,high
3,10,laso,1,hand,1,grapho,high
3,11,tefa,1,hand,1,grapho,high
3,12,nape,1,hand,1,grapho,high
3,13,lesa,1,hand,1,grapho,high
3,14,nafo,1,hand,1,grapho,high
3,15,tepo,1,hand,1,grapho,high
3,16,lofe,1,hand,1,grapho,high
4,1,tofe,1,hand,1,grapho,high
4,2,leso,1,hand,1,grapho,high
4,3,nopa,1,hand,1,grapho,high
4,4,tafo,1,hand,1,grapho,high
4,5,nesa,1,hand,1,grapho,high
4,6,lape,1,hand,1,grapho,high
4,7,lose,1,hand,1,grapho,high
4,8,nepo,1,hand,1,grapho,high
4,9,tofa,1,hand,1,grapho,high
4,10,laso,1,hand,1,grapho,high
4,11,tefa,1,hand,1,grapho,high
4,12,nape,1,hand,1,grapho,high
4,13,lesa,1,hand,1,grapho,high
4,14,nafo,1,hand,1,grapho,high
4,15,tepo,1,hand,1,grapho,high
4,16,lofe,1,hand,1,grapho,high
5,1,tofe,1,hand,1,grapho,high
5,2,leso,1,hand,1,grapho,high
5,3,nopa,1,hand,1,grapho,high
5,4,tafo,1,hand,1,grapho,high
5,5,nesa,1,hand,1,grapho,high
5,6,lape,1,hand,1,grapho,high
5,7,lose,1,hand,1,grapho,high
5,8,nepo,1,hand,1,grapho,high
5,9,tofa,1,hand,1,grapho,high
5,10,laso,1,hand,1,grapho,high
5,11,tefa,1,hand,1,grapho,high
5,12,nape,1,hand,1,grapho,high
5,13,lesa,1,hand,1,grapho,high
5,14,nafo,1,hand,1,grapho,high
5,15,tepo,1,hand,1,grapho,high
5,16,lofe,1,hand,1,grapho,high
6,1,tofe,1,hand,1,grapho,high
6,2,leso,1,hand,1,grapho,high
6,3,nopa,1,hand,1,grapho,high
6,4,tafo,1,hand,1,grapho,high
6,5,nesa,1,hand,1,grapho,high
6,6,lape,1,hand,1,grapho,high
6,7,lose,1,hand,1,grapho,high
